date,gangnam_price,gangbook_price,seoul_recuiting_number
201301,526716,368940,4247
201302,525056,367773,4247
201303,528064,367142,4247
201304,530252,366278,5561
201305,531736,366451,5561
201306,529958,365661,5561
201307,526808,364454,6310
201308,524682,362776,6310
201309,525648,362073,6310
201310,527615,362681,7057
201311,527952,362782,7057
201312,527481,362972,7057
201401,519302,363512,6757
201402,520880,364240,6757
201403,522490,364855,6757
201404,522359,365019,4961
201405,521785,364930,4961
201406,521332,364793,4961
201407,521384,364597,5558
201408,522036,364535,5558
201409,524166,365066,5558
201410,526065,365691,5756
201411,526372,361888,5756
201412,526088,362059,5756
201501,517904,358086,5287
201502,519487,358687,5287
201503,522199,359637,5287
201504,525713,360828,5640
201505,529115,361780,5640
201506,532493,363128,5640
201507,541981,371242,4800
201508,544214,372505,4800
201509,546924,373985,4800
201510,549263,375698,4304
201511,550698,377056,4304
201512,552488,377804,4304
201601,552395,377981,5908
201602,551301,378088,5908
201603,551146,378193,5908
201604,551756,378397,5270
201605,553043,378723,5270
201607,555790,379232,5270
201608,558121,380535,5778
201609,550227,378525,5778
201610,553843,379681,5778
201611,556048,380807,5262
201612,555913,381315,5262
201701,555547,381535,5262
201702,556111,381696,6939
201703,559733,381981,6939
201704,561026,383059,6939
201705,563409,383956,7254
201706,569523,385779,7254
201707,571670,387465,7254
201708,575159,388886,6763
201709,575151,389415,6763
201710,577141,390137,6763
201711,580288,391320,5310
201712,650091,443405,5310
201801,663428,445982,5310
201802,674953,450070,
201803,679205,453305,
201804,680739,455018,
201805,680980,456666,
201806,680885,458751,
